Game ID,Game Name,Brand,Category,Image URL
,"6 Toros","CQ9",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/341/public
,"6 Wild Sharks","RelaxGaming",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1210/public
,"7 Bonus Up","Endorphina",Slot,https://igamingapis.com/img/12440.png
,"7 Clovers of Fortune","PragmaticPlay-EU",HotSlots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/4558/public
,"7 Clovers of Fortune","PragmaticPlay-Asia",HotSlots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/5108/public
,"7 Dragons","NextSpin",flash,https://igamingapis.com/img/1211.png
,"7 Elements","RelaxGaming",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1212/public
,"7 Monkeys","PragmaticPlay-Asia",HotSlots,https://igamingapis.com/img/5611.png
,"7 Monkeys","PragmaticPlay-EU",HotSlots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/4987/public
,"7 Piggies","PragmaticPlay-Asia",HotSlots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/5583/public
,"7 Piggies","PragmaticPlay-EU",HotSlots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/4961/public
,"7 Sinners","KA",Video Slot,https://igamingapis.com/img/11206.png
,"7 Sins","PlaynGo",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1213/public
,"7 Up 7 Down","King Midas",Casino,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6771/public
,"7 Up 7 Down Rush","King Midas",Casino,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6843/public
,"7 Up Down","Aura Gaming",Casino Live,https://igamingapis.com/img/12921.png
,"7 Up Down","Funky Games",Arcade,https://igamingapis.com/img/13091.png
,"7 UP DOWN","2J",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1214/public
,"7 Up Down","GAMINGSOFT-WOW",Table,https://igamingapis.com/img/12739.png
,"7 Up Down","Aura Gaming",Casino Live,https://igamingapis.com/img/12897.png
,"7 Up Down Fast","Aura Gaming",Casino Live,https://igamingapis.com/img/12891.png
,"7 UP-DOWN","JILI",Table,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10492/public
,"777","CQ9",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/373/public
,"777 Blazing 2 Bonus Strike","Funky Games",Slot,https://igamingapis.com/img/13130.png
,"777 Blazing 3 Golden","Funky Games",Slot,https://igamingapis.com/img/13151.png
,"777 Blazing Classic","Funky Games",Slot,https://igamingapis.com/img/13131.png
,"777 Blazing Hold and Win","Funky Games",Slot,https://igamingapis.com/img/13140.png
,"777 Blazing Hold and Win","PgsGaming",Slots,https://igamingapis.com/img/7065.png
,"777 Coins","3Oaks (BNG)",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/7129/public
,"777 FRUIT","2J",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1215/public
,"777 Gems Fusion Reels","KA",Video Slot,https://igamingapis.com/img/11200.png
,"777 Mega Deluxe","Microgaming",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1216/public
,"777 More Cash","YGRGaming",flash,https://igamingapis.com/img/1217.png
,"777 Royal Wheel","Microgaming",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/220/public
,"777 Rush","PragmaticPlay-Asia",HotSlots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/5639/public
,"777 Strike","RedTiger",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1218/public
,"777 Strike","RedTiger（Asia）",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/8386/public
,"777 Super BIG BuildUp Deluxe","Microgaming",flash,https://igamingapis.com/img/1219.png
,"777 Super Strike","RedTiger（Asia）",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/8526/public
,"777 Surge","Microgaming",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/481/public
,"777-CLASSIC STYLE","BtGaming",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1220/public
,"7s and Diamonds","GameArt",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6157/public
,"7Up 7Down","topbet",Slot,https://igamingapis.com/img/12128.png
,"7up7down","TADAGaming",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/131/public
,"7up7down","JILI",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/264/public
,"8 Dragons","PragmaticPlay-EU",HotSlots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/4969/public
,"8 Dragons","PragmaticPlay-Asia",HotSlots,https://igamingapis.com/img/5590.png
,"8 Golden Dragon Challenge","PragmaticPlay-Asia",HotSlots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/5245/public
,"8 Golden Dragon Challenge","PragmaticPlay-EU",HotSlots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/4671/public
,"8 Tigers Gold Megaways","Skywind",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1221/public
,"8 Treasures 1 Queen","Skywind",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1222/public
,"8-Bit Quest","Hacksaw World",Slot,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10895/public
,"80s Spins","RedTiger（Asia）",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/8520/public
,"81 Burning Ways","Endorphina",Slot,https://igamingapis.com/img/12305.png
